[2011/07/18 Mon 10:41:21] Check Leaks ===================================================>
Memory Stay ------> 0x10284288 (size  30, <Unknown>:0   )
Memory Stay ------> 0x1027c278 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x1027c250 (size  30, <Unknown>:0   )
Memory Stay ------> 0x10268250 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10268230 (size  22, <Unknown>:0   )
Memory Stay ------> 0x101242e0 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x101242b0 (size  40, <Unknown>:0   )
Memory Stay ------> 0x101202b8 (size  52, ../../common/cmr_setting_element.cpp:59  )
Memory Stay ------> 0x10120290 (size  30, <Unknown>:0   )
Memory Stay ------> 0x10118200 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10110218 (size  25, <Unknown>:0   )
Memory Stay ------> 0x1010c200 (size  20, <Unknown>:0   )
Memory Stay ------> 0x101082a0 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x10108270 (size  43, <Unknown>:0   )
Memory Stay ------> 0x100fc2b0 (size  52, ../../common/cmr_setting_element.cpp:64  )
Memory Stay ------> 0x100fc288 (size  32, <Unknown>:0   )
Memory Stay ------> 0x100f8268 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x100f8238 (size  37, <Unknown>:0   )
Memory Stay ------> 0x1003c260 (size  92, <Unknown>:0   )
Memory Stay ------> 0x10038268 (size  47, <Unknown>:0   )
Memory Stay ------> 0x100342a0 (size  39, <Unknown>:0   )
Memory Stay ------> 0x100302f0 (size  30, <Unknown>:0   )
Memory Stay ------> 0x100302d8 (size  16, <Unknown>:0   )
Memory Stay ------> 0x1002c2e8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x10028240 (size  15, <Unknown>:0   )
Memory Stay ------> 0x1001c218 (size  12, <Unknown>:0   )
Memory Stay ------> 0x1001c208 (size  12, <Unknown>:0   )
Memory Stay ------> 0x100142c0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x100102e8 (size  37, <Unknown>:0   )
Memory Stay ------> 0x1025c3a0 (size  92, <Unknown>:0   )
Memory Stay ------> 0x10340340 (size   4, <Unknown>:0   )
Memory Stay ------> 0x1032c3d8 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10330350 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102d03f8 (size   4, <Unknown>:0   )
Memory Stay ------> 0x10328358 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102f43f8 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102f43e8 (size   4, <Unknown>:0   )
Memory Stay ------> 0x102dc310 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102d8380 (size  54, <Unknown>:0   )
Memory Stay ------> 0x10318318 (size  14, <Unknown>:0   )
Memory Stay ------> 0x103143c8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102f43a8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4390 (size  17, <Unknown>:0   )
Memory Stay ------> 0x10310330 (size  12, <Unknown>:0   )
Memory Stay ------> 0x1030c3f0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x1030c3e0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x103003c8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102fc338 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d43e0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d43f8 (size  17, <Unknown>:0   )
Memory Stay ------> 0x102f43b8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102f4358 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102e8380 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102e8370 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102e8358 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d4350 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4340 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4300 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4330 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4378 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4360 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d4318 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d43a8 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d43d0 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102d4390 (size  14, <Unknown>:0   )
Memory Stay ------> 0x102d43b8 (size  14, <Unknown>:0   )
Memory Stay ------> 0x1010c330 (size  12, <Unknown>:0   )
Memory Stay ------> 0x102c4380 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102c03c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b8300 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b4340 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102b0380 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102ac3c0 (size  32, <Unknown>:0   )
Memory Stay ------> 0x102a8340 (size  82, <Unknown>:0   )
Memory Stay ------> 0x102a03d8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1029c3b8 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10298398 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10294378 (size  20, <Unknown>:0   )
Memory Stay ------> 0x10290358 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1028c338 (size  20, <Unknown>:0   )
Memory Stay ------> 0x1026c3f8 (size  30, <Unknown>:0   )
Memory Stay ------> 0x1026c3c8 (size  44, ../../common/cmr_setting_element.cpp:54  )
Memory Stay ------> 0x1026c3a0 (size  33, <Unknown>:0   )
Memory Stay ------> 0x10278338 (size  44, ../../common/cmr_setting_element.cpp:54  )
